veg,max,fiss,r,k,leap,perm,score
0.4,0.0,150,0.02,100,5,20,686
0.4,0.0,150,0.02,100,5,30,559
0.4,0.0,150,0.02,100,15,10,1600
0.4,0.0,150,0.02,100,15,20,1497
0.4,0.0,150,0.02,100,15,30,1445
0.4,0.0,150,0.03,10,0,10,1674
0.4,0.0,150,0.03,10,0,20,1674
0.4,0.0,150,0.03,10,0,30,1674
0.4,0.0,150,0.03,10,5,10,1674
0.4,0.0,150,0.03,10,5,20,1674
0.4,0.0,150,0.03,10,5,30,1674
0.4,0.0,150,0.03,10,15,10,1674
0.4,0.0,150,0.03,10,15,20,1674
0.4,0.0,150,0.03,10,15,30,1674
0.4,0.0,150,0.03,50,0,10,950
0.4,0.0,150,0.03,50,0,20,664
0.4,0.0,150,0.03,50,0,30,683
0.4,0.0,150,0.03,50,5,10,986
0.4,0.0,150,0.03,50,5,20,696
0.4,0.0,150,0.03,50,5,30,580
0.4,0.0,150,0.03,50,15,10,1360
0.4,0.0,150,0.03,50,15,20,1331
0.4,0.0,150,0.03,50,15,30,1241
0.4,0.0,150,0.03,100,0,10,1238
0.4,0.0,150,0.03,100,0,20,953
0.4,0.0,150,0.03,100,0,30,654
0.4,0.0,150,0.03,100,5,10,1442
0.4,0.0,150,0.03,100,5,20,1178
0.4,0.0,150,0.03,100,5,30,960
0.4,0.0,150,0.03,100,15,10,1839
0.4,0.0,150,0.03,100,15,20,1762
0.4,0.0,150,0.03,100,15,30,1692
0.4,0.0,150,0.04,10,0,10,1674
0.4,0.0,150,0.04,10,0,20,1674
0.4,0.0,150,0.04,10,0,30,1674
0.4,0.0,150,0.04,10,5,10,1674
0.4,0.0,150,0.04,10,5,20,1674
0.4,0.0,150,0.04,10,5,30,1674
0.4,0.0,150,0.04,10,15,10,1674
0.4,0.0,150,0.04,10,15,20,1674
0.4,0.0,150,0.04,10,15,30,1674
0.4,0.0,150,0.04,50,0,10,1232
0.4,0.0,150,0.04,50,0,20,791
0.4,0.0,150,0.04,50,0,30,666
0.4,0.0,150,0.04,50,5,10,1323
0.4,0.0,150,0.04,50,5,20,945
0.4,0.0,150,0.04,50,5,30,837
0.4,0.0,150,0.04,50,15,10,1584
0.4,0.0,150,0.04,50,15,20,1515
0.4,0.0,150,0.04,50,15,30,1544
0.4,0.0,150,0.04,100,0,10,1473
0.4,0.0,150,0.04,100,0,20,960
0.4,0.0,150,0.04,100,0,30,908
0.4,0.0,150,0.04,100,5,10,1585
0.4,0.0,150,0.04,100,5,20,1388
0.4,0.0,150,0.04,100,5,30,1432
0.4,0.0,150,0.04,100,15,10,1933
0.4,0.0,150,0.04,100,15,20,1884
0.4,0.0,150,0.04,100,15,30,1890
0.4,0.23,50,0.02,10,0,10,1674
0.4,0.23,50,0.02,10,0,20,1674
0.4,0.23,50,0.02,10,0,30,1674
0.4,0.23,50,0.02,10,5,10,1674
0.4,0.23,50,0.02,10,5,20,1674
0.4,0.23,50,0.02,10,5,30,1674
0.4,0.23,50,0.02,10,15,10,1674
0.4,0.23,50,0.02,10,15,20,972
0.4,0.23,50,0.02,10,15,30,1175
0.4,0.23,50,0.03,10,0,10,1674
0.4,0.23,50,0.03,10,0,20,1674
0.4,0.23,50,0.03,10,0,30,1674
0.4,0.23,50,0.03,10,5,10,1674
0.4,0.23,50,0.03,10,5,20,1674
0.4,0.23,50,0.03,10,5,30,1674
0.4,0.23,50,0.03,10,15,10,758
0.4,0.23,50,0.03,10,15,20,1018
0.4,0.23,50,0.03,10,15,30,604
0.4,0.23,50,0.04,10,0,10,1674
0.4,0.23,50,0.04,10,0,20,1674
0.4,0.23,50,0.04,10,0,30,1674
0.4,0.23,50,0.04,10,5,10,1674
0.4,0.23,50,0.04,10,5,20,1674
0.4,0.23,50,0.04,10,5,30,1674
0.4,0.23,50,0.04,10,15,10,721
0.4,0.23,50,0.04,10,15,20,547
0.4,0.23,50,0.04,10,15,30,513
0.4,0.23,100,0.02,10,0,10,1674
0.4,0.23,100,0.02,10,0,20,1674
0.4,0.23,100,0.02,10,0,30,1674
0.4,0.23,100,0.02,10,5,10,1674
0.4,0.23,100,0.02,10,5,20,1674
0.4,0.23,100,0.02,10,5,30,1674
0.4,0.23,100,0.02,10,15,10,1674
0.4,0.23,100,0.02,10,15,20,1674
0.4,0.23,100,0.02,10,15,30,1674
0.4,0.23,100,0.02,50,0,10,1674
0.4,0.23,100,0.02,50,0,20,1674
0.4,0.23,100,0.02,50,0,30,1674
0.4,0.23,100,0.02,50,5,10,407
0.4,0.23,100,0.02,50,5,20,1674
0.4,0.23,100,0.02,50,5,30,1674
0.4,0.23,100,0.02,50,15,10,1034
0.4,0.23,100,0.02,50,15,20,876
0.4,0.23,100,0.02,50,15,30,760
0.4,0.23,100,0.03,10,0,10,1674
0.4,0.23,100,0.03,10,0,20,1674
0.4,0.23,100,0.03,10,0,30,1674
0.4,0.23,100,0.03,10,5,10,1674
0.4,0.23,100,0.03,10,5,20,1674
0.4,0.23,100,0.03,10,5,30,1674
0.4,0.23,100,0.03,10,15,10,1674
0.4,0.23,100,0.03,10,15,20,1674
0.4,0.23,100,0.03,10,15,30,1674
0.4,0.23,100,0.03,50,0,10,601
0.4,0.23,100,0.03,50,0,20,1674
0.4,0.23,100,0.03,50,0,30,1674
0.4,0.23,100,0.03,50,5,10,809
0.4,0.23,100,0.03,50,5,20,382
0.4,0.23,100,0.03,50,5,30,382
0.4,0.23,100,0.03,50,15,10,1353
0.4,0.23,100,0.03,50,15,20,1299
0.4,0.23,100,0.03,50,15,30,1231
0.4,0.23,100,0.04,10,0,10,1674
0.4,0.23,100,0.04,10,0,20,1674
0.4,0.23,100,0.04,10,0,30,1674
0.4,0.23,100,0.04,10,5,10,1674
0.4,0.23,100,0.04,10,5,20,1674
0.4,0.23,100,0.04,10,5,30,1674
0.4,0.23,100,0.04,10,15,10,1674
0.4,0.23,100,0.04,10,15,20,1674
0.4,0.23,100,0.04,10,15,30,1674
0.4,0.23,100,0.04,50,0,10,861
0.4,0.23,100,0.04,50,0,20,1593
0.4,0.23,100,0.04,50,0,30,1674
0.4,0.23,100,0.04,50,5,10,1102
0.4,0.23,100,0.04,50,5,20,769
0.4,0.23,100,0.04,50,5,30,540
0.4,0.23,100,0.04,50,15,10,1551
0.4,0.23,100,0.04,50,15,20,1492
0.4,0.23,100,0.04,50,15,30,1460
0.4,0.23,150,0.02,10,0,10,1674
0.4,0.23,150,0.02,10,0,20,1674
0.4,0.23,150,0.02,10,0,30,1674
0.4,0.23,150,0.02,10,5,10,1674
0.4,0.23,150,0.02,10,5,20,1674
0.4,0.23,150,0.02,10,5,30,1674
0.4,0.23,150,0.02,10,15,10,1674
0.4,0.23,150,0.02,10,15,20,1674
0.4,0.23,150,0.02,10,15,30,1674
0.4,0.23,150,0.02,50,0,10,1674
0.4,0.23,150,0.02,50,0,20,1674
0.4,0.23,150,0.02,50,0,30,1674
0.4,0.23,150,0.02,50,5,10,1674
0.4,0.23,150,0.02,50,5,20,1674
0.4,0.23,150,0.02,50,5,30,1674
0.4,0.23,150,0.02,50,15,10,552
0.4,0.23,150,0.02,50,15,20,493
0.4,0.23,150,0.02,50,15,30,397
0.4,0.23,150,0.02,100,0,10,1525
0.4,0.23,150,0.02,100,0,20,1674
0.4,0.23,150,0.02,100,0,30,1674
0.4,0.23,150,0.02,100,5,10,713
0.4,0.23,150,0.02,100,5,20,362
0.4,0.23,150,0.02,100,5,30,432
0.4,0.23,150,0.02,100,15,10,1472
0.4,0.23,150,0.02,100,15,20,1341
0.4,0.23,150,0.02,100,15,30,1260
0.4,0.23,150,0.03,10,0,10,1674
0.4,0.23,150,0.03,10,0,20,1674
0.4,0.23,150,0.03,10,0,30,1674
0.4,0.23,150,0.03,10,5,10,1674
0.4,0.23,150,0.03,10,5,20,1674
0.4,0.23,150,0.03,10,5,30,1674
0.4,0.23,150,0.03,10,15,10,1674
0.4,0.23,150,0.03,10,15,20,1674
0.4,0.23,150,0.03,10,15,30,1674
0.4,0.23,150,0.03,50,0,10,1674
0.4,0.23,150,0.03,50,0,20,1674
0.4,0.23,150,0.03,50,0,30,1674
0.4,0.23,150,0.03,50,5,10,834
0.4,0.23,150,0.03,50,5,20,1599
0.4,0.23,150,0.03,50,5,30,1674
0.4,0.23,150,0.03,50,15,10,1133
0.4,0.23,150,0.03,50,15,20,1056
0.4,0.23,150,0.03,50,15,30,948
0.4,0.23,150,0.03,100,0,10,822
